"Slashpile1"	"Slashpile10"	"Slashpile13"	"Slashpile14"	"Slashpile15"	"Slashpile16"	"Slashpile17"	"Slashpile18"	"Slashpile19"	"Slashpile2"	"Slashpile20"	"Slashpile22"	"Slashpile23"	"Slashpile24"	"Slashpile25"	"Slashpile26"	"Slashpile27"	"Slashpile28"	"Slashpile3"	"Slashpile4"	"Slashpile40"	"Slashpile5"	"Slashpile6"	"Slashpile7"	"Slashpile8"	"Slashpile9"
"Taxa_00020"	0.218806595110405	0.163155963056666	0.232185621592202	0.223796311877743	0.268717058473574	0.0266432571987476	0.150192787994247	0.00888108573291586	0.244512274368618	0.241183212100487	0.0925083493085953	0.234971442215392	0.179389138435201	0.203781732543128	0.0307649834315707	0.0879182632446147	0.220869584659038	0.0234971442215392	0.256015685523326	0.143890034388393	0.137728431896955	0.222382103011274	0.225026453992965	0.229107914673064	0.278517985079559	0.277738119011242
"Taxa_00021"	0.0427740216013943	0.229350139663683	0.254855646985617	0.1625272110744	0.194844941356193	0.0302458007329658	0.0282923559328485	0.0261936317925504	0.0709326902131909	0.507237498546183	0.0641610324020915	0.0659191944307331	0.0595389182817912	0.102568500587413	0.0667809198210393	0.0926084733220795	0.202047834969297	0.0400114334717213	0.137776179312859	0.263893528090584	0.457702018559045	0.177653854273558	0.126527262218938	0.183978023397351	0.255079893088822	0.170090615878898
"Taxa_00022"	0.24230584229878	0.204124145231932	0.24230584229878	0.168549965615811	0.144337567297406	0	0	0	0.20871177748418	0.366701100311544	0.179435140641318	0.199431008804366	0.168549965615811	0.130558241966773	0	0.0435194139889245	0.189696727659832	0	0.238365647311398	0.261116483933547	0.217597069944622	0.322748612183951	0.257464325272219	0.137620470640795	0.288675134594813	0.11514154661796
"Taxa_00023"	0	0.266076042095096	0.188144173676719	0.188144173676719	0.188144173676719	0.133038021047548	0	0.0940720868383597	0.0940720868383597	0.506593691375636	0.0940720868383597	0.162937633978071	0.0940720868383597	0.0940720868383597	0	0.162937633978071	0.210351580955836	0	0	0.210351580955836	0.506593691375636	0.162937633978071	0	0.133038021047548	0.230428611792771	0.0940720868383597
"Taxa_00025"	0.575435337648436	0	0	0.115087067529687	0	0.0813788458771159	0	0	0	0	0.0813788458771159	0.115087067529687	0.18196863131171	0.140952295720482	0	0	0.0813788458771159	0	0.592446940648227	0.0813788458771159	0	0.31517891481565	0.18196863131171	0.199336648255529	0	0.199336648255529
"Taxa_00027"	0.201274663066634	0.168827114275093	0.241228631758	0.252489458418179	0.305557614687074	0.0272266385058665	0.178329286214351	0	0.151346807662964	0.244358132585579	0.0537683028640817	0.120229580238883	0.107364133113987	0.260153344755069	0.0304403072489654	0.106148978486855	0.240150681633025	0.0285555393708829	0.255553585937268	0.134213796672317	0.161534524236726	0.231105891928168	0.177077837165249	0.237902248023278	0.280645765975492	0.322092399341962
"Taxa_00029"	0	0.14142135623731	0.2	0	0.2	0.424264068711929	0	0.14142135623731	0	0.244948974278318	0	0.2	0.2	0	0.2	0	0.244948974278318	0.316227766016838	0.244948974278318	0.374165738677394	0.14142135623731	0.2	0.2	0	0	0.244948974278318
"Taxa_00030"	0.205043628017354	0.176177111787635	0.19804347745287	0.195894660041965	0.218371770722104	0.0964961782421972	0.17294422958363	0.0650577100991178	0.218371770722104	0.25308480542279	0.119960490109698	0.209131278501939	0.170479340148908	0.222848377935611	0.142534301443674	0.19732980494273	0.236962531922219	0.107558582913987	0.215772014118489	0.225366518631518	0.143520709763175	0.211145430394607	0.217075784376167	0.259688126895637	0.240508302959222	0.218371770722104
"Taxa_00031"	0.204009500940253	0.176925518133684	0.180071107047985	0.191040179975218	0.242663259699703	0.104301101721533	0.180071107047985	0.110826105244177	0.185447544308523	0.242663259699703	0.128427189307393	0.210277750066279	0.180654807467106	0.208602203443067	0.152187862275279	0.171691063974292	0.2126013316544	0.1514945198891	0.249648826909104	0.192686320135691	0.146309648331319	0.224640207684373	0.232772513914633	0.21652661074599	0.238138013857553	0.252305484029174
"Taxa_00032"	0.163420413210853	0.180668064568413	0.154074243154269	0.154074243154269	0.196406893096414	0.237444355499256	0.180668064568413	0.237444355499256	0.210974846265323	0.243612768567048	0.163420413210853	0.196406893096414	0.203821065413346	0.22459987501681	0.121806384283524	0.154074243154269	0.237444355499256	0.172260240637389	0.237444355499256	0.196406893096414	0.121806384283524	0.196406893096414	0.210974846265323	0.217893884281137	0.163420413210853	0.237444355499256
